20250203 173000;6000.48;6000.65;5993.83;5993.83;0
20250203 173100;5993.92;5993.92;5991.17;5993.35;0
20250203 173200;5993.84;5994.74;5991.16;5991.98;0
20250203 173300;5991.93;5991.93;5989.49;5989.89;0
20250203 173400;5989.91;5989.91;5988.47;5989.03;0
20250203 173500;5988.95;5989.48;5988.27;5988.44;0
20250203 173600;5988.51;5989.35;5987.15;5989.16;0
20250203 173700;5989.43;5990.16;5987.8;5988.3;0
20250203 173800;5988.05;5988.66;5985.36;5985.42;0
20250203 173900;5985.3;5987.55;5984.14;5986.56;0
20250203 174000;5986.56;5987.75;5985.4;5986.26;0
20250203 174100;5986.32;5987.23;5984.79;5984.79;0
20250203 174200;5984.83;5986.76;5983.18;5983.47;0
20250203 174300;5983.65;5985.62;5982.98;5983.25;0
20250203 174400;5983.2;5987.13;5983.2;5986.58;0
20250203 174500;5986.56;5986.87;5984.25;5984.25;0
20250203 174600;5984.48;5987.94;5984.48;5987.83;0
20250203 174700;5987.84;5987.84;5985.09;5985.47;0
20250203 174800;5985.44;5985.44;5984.31;5984.55;0
20250203 174900;5984.72;5986.58;5983.8;5986.37;0
20250203 175000;5986.28;5989.61;5984.69;5987.97;0
20250203 175100;5987.93;5990.77;5987.79;5990.53;0
20250203 175200;5990.56;5994.03;5990.56;5992.82;0
20250203 175300;5992.88;5994.71;5992.04;5993;0
20250203 175400;5993.13;5993.35;5992.02;5993.27;0
20250203 175500;5993.35;5998.81;5993.35;5997.83;0
20250203 175600;5997.87;5997.91;5981.17;5985.29;0
20250203 175700;5985.62;5995;5983.04;5988.5;0
20250203 175800;5988.27;5988.59;5983.24;5985.37;0
20250203 175900;5985.51;5992.59;5985.51;5992.03;0
20250203 180000;5991.93;5994.69;5988.03;5993.77;0
20250203 180100;5993.36;5993.36;5985.87;5986.03;0
20250203 180200;5985.65;5987.92;5983.19;5985.89;0
20250203 180300;5985.6;5985.6;5981.63;5983.91;0
20250203 180400;5983.85;5987.35;5983.75;5987.35;0
20250203 180500;5988.05;5994.4;5987.89;5993.63;0
20250203 180600;5993.37;5994.29;5992;5993.79;0
20250203 180700;5993.89;5996.27;5991.96;5993.72;0
20250203 180800;5993.57;5993.57;5988.63;5993.44;0
20250203 180900;5993.46;5995.38;5991.6;5991.6;0
20250203 181000;5991.54;5991.54;5985.57;5986.44;0
20250203 181100;5986.5;5986.5;5984.79;5985.85;0
20250203 181200;5985.88;5987.2;5984.56;5987.2;0
20250203 181300;5987.13;5992.84;5986.49;5992.4;0
20250203 181400;5992.32;5996.73;5992.28;5996.66;0
20250203 181500;5996.65;5997.63;5995.24;5995.24;0
20250203 181600;5995.18;5997.39;5995.11;5997.3;0
20250203 181700;5997.24;5998.37;5995.64;5997.64;0
20250203 181800;5997.67;5997.67;5994.5;5996.67;0
20250203 181900;5996.59;5997.91;5995.55;5995.73;0
